id,case_number,date_time,latitude,longitude,type,place_description,police_district
13218466,JG433769,2023-09-21 21:00:00,41.765286035,-87.577086035,RECKLESS FIREARM DISCHARGE,STREET,003
13218555,JG433883,2023-09-21 23:54:00,41.911478025,-87.744299218,RECKLESS FIREARM DISCHARGE,STREET,025
13218540,JG433761,2023-09-21 20:39:00,41.853725089,-87.697427476,RECKLESS FIREARM DISCHARGE,STREET,010
13219701,JG435244,2023-09-22 23:41:00,41.770417178,-87.623427739,RECKLESS FIREARM DISCHARGE,STREET,003
13219355,JG434960,2023-09-22 18:30:00,41.765848892,-87.672347426,RECKLESS FIREARM DISCHARGE,ALLEY,007
13220321,JG435942,2023-09-22 01:03:00,41.806606405,-87.744351201,RECKLESS FIREARM DISCHARGE,STREET,008
13219385,JG435008,2023-09-22 18:48:00,41.759362853,-87.641827917,RECKLESS FIREARM DISCHARGE,STREET,007
13272484,JG498610,2023-11-10 08:19:00,41.895389368,-87.723944549,RECKLESS FIREARM DISCHARGE,STREET,011
13219718,JG435253,2023-09-23 00:21:00,41.83516241,-87.718509198,RECKLESS FIREARM DISCHARGE,STREET,010
13219744,JG435285,2023-09-23 01:14:00,41.746473315,-87.648778489,RECKLESS FIREARM DISCHARGE,ALLEY,006
13219696,JG435246,2023-09-23 00:12:00,41.80502547,-87.744306996,RECKLESS FIREARM DISCHARGE,ALLEY,008
13220687,JG436395,2023-09-23 21:10:00,41.781335054,-87.615651789,RECKLESS FIREARM DISCHARGE,ALLEY,003
13219760,JG435327,2023-09-23 01:59:00,41.80073256,-87.710333361,RECKLESS FIREARM DISCHARGE,STREET,008
13220495,JG436272,2023-09-23 18:13:00,41.857017042,-87.726636244,RECKLESS FIREARM DISCHARGE,STREET,010
13220776,JG436500,2023-09-23 23:12:00,41.790202858,-87.684575945,RECKLESS FIREARM DISCHARGE,RESIDENCE - YARD (FRONT / BACK),008
13273307,JG499612,2023-11-10 22:24:00,41.745357556,-87.573435691,RECKLESS FIREARM DISCHARGE,ALLEY,004
13221657,JG437570,2023-09-24 18:08:00,41.74260068,-87.69593449,RECKLESS FIREARM DISCHARGE,STREET,008
13221874,JG437731,2023-09-24 21:14:00,41.708128629,-87.625940917,RECKLESS FIREARM DISCHARGE,ALLEY,005
13221686,JG437566,2023-09-24 18:23:00,41.767411514,-87.621103862,RECKLESS FIREARM DISCHARGE,STREET,003
13220904,JG436688,2023-09-24 02:41:00,41.910489608,-87.750116643,RECKLESS FIREARM DISCHARGE,STREET,025
13220835,JG436600,2023-09-24 00:51:00,41.934518315,-87.72789426,RECKLESS FIREARM DISCHARGE,STREET,025
13221961,JG437829,2023-09-24 23:59:00,41.744236404,-87.707941014,RECKLESS FIREARM DISCHARGE,ALLEY,008
13220955,JG436736,2023-09-24 02:30:00,41.729247832,-87.61120921,RECKLESS FIREARM DISCHARGE,STREET,006
13220914,JG436685,2023-09-24 02:38:00,41.781678505,-87.724065453,RECKLESS FIREARM DISCHARGE,ALLEY,008
13221383,JG437158,2023-09-24 12:35:00,41.745905916,-87.663324982,RECKLESS FIREARM DISCHARGE,STREET,006
13221125,JG436906,2023-09-24 03:14:00,41.785121492,-87.729052529,RECKLESS FIREARM DISCHARGE,ALLEY,008
13221364,JG437087,2023-09-24 06:18:00,41.894947739,-87.75475375,RECKLESS FIREARM DISCHARGE,ALLEY,015
13221533,JG437312,2023-09-24 01:44:00,41.766186863,-87.581793056,RECKLESS FIREARM DISCHARGE,SIDEWALK,003
13221812,JG437695,2023-09-24 19:51:00,41.761736527,-87.603213844,RECKLESS FIREARM DISCHARGE,STREET,003
13220832,JG436582,2023-09-24 00:30:00,41.764073087,-87.576257224,RECKLESS FIREARM DISCHARGE,ALLEY,003
13221706,JG437654,2023-09-24 19:56:00,41.76391016,-87.697904575,RECKLESS FIREARM DISCHARGE,STREET,008
13273202,JG499238,2023-11-10 16:25:00,41.745656805,-87.732409239,RECKLESS FIREARM DISCHARGE,STREET,008
13221984,JG437883,2023-09-25 01:50:00,41.794865428,-87.70481967,RECKLESS FIREARM DISCHARGE,ALLEY,008
13221988,JG437885,2023-09-25 01:47:00,41.925090821,-87.732914814,RECKLESS FIREARM DISCHARGE,ALLEY,025
13221959,JG437851,2023-09-25 00:28:00,41.929700663,-87.783214604,RECKLESS FIREARM DISCHARGE,ALLEY,025
13223114,JG439184,2023-09-25 22:20:00,41.80755014,-87.748590044,RECKLESS FIREARM DISCHARGE,STREET,008
13222172,JG438011,2023-09-25 07:13:00,41.802952084,-87.634394509,RECKLESS FIREARM DISCHARGE,STREET,009
13223054,JG439181,2023-09-25 23:50:00,41.701897416,-87.609380401,RECKLESS FIREARM DISCHARGE,STREET,005
13223815,JG440173,2023-09-26 17:03:00,41.805695294,-87.674615538,RECKLESS FIREARM DISCHARGE,SIDEWALK,009
13223096,JG439228,2023-09-26 01:08:00,41.681024574,-87.627555715,RECKLESS FIREARM DISCHARGE,ALLEY,005
13223569,JG439777,2023-09-26 11:38:00,41.777290185,-87.693736004,RECKLESS FIREARM DISCHARGE,STREET,008
13224097,JG440470,2023-09-26 20:36:00,41.806457662,-87.655186296,RECKLESS FIREARM DISCHARGE,SIDEWALK,009
13224860,JG440837,2023-09-26 22:00:00,41.765621194,-87.619609791,RECKLESS FIREARM DISCHARGE,STREET,003
13224315,JG440561,2023-09-26 22:56:00,41.758498088,-87.609693875,RECKLESS FIREARM DISCHARGE,SIDEWALK,003
13223062,JG439191,2023-09-26 00:11:00,41.812332526,-87.726199738,RECKLESS FIREARM DISCHARGE,STREET,008
13273392,JG499644,2023-11-10 23:27:00,41.846418291,-87.698134778,RECKLESS FIREARM DISCHARGE,STREET,010
13224289,JG440673,2023-09-27 02:01:00,41.722989974,-87.609334163,RECKLESS FIREARM DISCHARGE,STREET,006
13224284,JG440686,2023-09-27 02:31:00,41.759960405,-87.593260897,RECKLESS FIREARM DISCHARGE,STREET,003
13224670,JG441099,2023-09-27 11:55:00,41.878586538,-87.746103221,RECKLESS FIREARM DISCHARGE,ALLEY,015
13225164,JG441690,2023-09-27 19:26:00,41.860245497,-87.707931563,RECKLESS FIREARM DISCHARGE,ALLEY,010
13224273,JG440674,2023-09-27 01:30:00,41.823149875,-87.666699091,RECKLESS FIREARM DISCHARGE,ALLEY,009
13225825,JG442320,2023-09-28 10:10:00,41.813164016,-87.666322105,RECKLESS FIREARM DISCHARGE,STREET,009
13225376,JG441878,2023-09-28 00:58:00,41.704002098,-87.618552192,RECKLESS FIREARM DISCHARGE,STREET,005
13225725,JG442229,2023-09-28 09:59:00,41.693486225,-87.623930137,RECKLESS FIREARM DISCHARGE,ALLEY,005
13225377,JG441864,2023-09-28 00:27:00,41.704002098,-87.618552192,RECKLESS FIREARM DISCHARGE,STREET,005
13225379,JG441896,2023-09-28 01:35:00,41.884559279,-87.769907807,RECKLESS FIREARM DISCHARGE,ALLEY,015
13226416,JG443077,2023-09-28 22:54:00,41.780218151,-87.684889246,RECKLESS FIREARM DISCHARGE,ALLEY,008
13226760,JG443538,2023-09-29 05:00:00,41.714395692,-87.615166311,RECKLESS FIREARM DISCHARGE,STREET,005
13226458,JG443132,2023-09-29 01:17:00,41.685087009,-87.602224968,RECKLESS FIREARM DISCHARGE,STREET,005
13226548,JG443189,2023-09-29 03:01:00,41.895594999,-87.732239862,RECKLESS FIREARM DISCHARGE,STREET,011
13227050,JG443805,2023-09-29 15:18:00,41.901630915,-87.72261056,RECKLESS FIREARM DISCHARGE,STREET,011
13226536,JG443204,2023-09-29 04:55:00,41.714395692,-87.615166311,RECKLESS FIREARM DISCHARGE,STREET,005
13227874,JG444740,2023-09-29 23:03:00,41.891879948,-87.754263576,RECKLESS FIREARM DISCHARGE,SIDEWALK,015
13227322,JG444235,2023-09-29 20:09:00,41.931317772,-87.763120318,RECKLESS FIREARM DISCHARGE,ALLEY,025
13227001,JG443705,2023-09-29 13:46:00,41.686548032,-87.618090092,RECKLESS FIREARM DISCHARGE,STREET,005
13227600,JG444508,2023-09-30 02:05:00,41.765986779,-87.684501062,RECKLESS FIREARM DISCHARGE,RESIDENCE - YARD (FRONT / BACK),008
13227782,JG444664,2023-09-30 05:00:00,41.702430267,-87.622198602,RECKLESS FIREARM DISCHARGE,STREET,005
13227894,JG444730,2023-09-30 03:05:00,41.893905784,-87.759299171,RECKLESS FIREARM DISCHARGE,RESIDENCE - YARD (FRONT / BACK),015
13228387,JG445473,2023-09-30 18:54:00,41.879689031,-87.731654537,RECKLESS FIREARM DISCHARGE,STREET,011
13228941,JG446110,2023-10-01 10:20:00,41.800655526,-87.669627941,RECKLESS FIREARM DISCHARGE,STREET,009
13230169,JG447538,2023-10-01 11:38:00,41.893848139,-87.759296014,RECKLESS FIREARM DISCHARGE,RESIDENCE - YARD (FRONT / BACK),015
13228897,JG446048,2023-10-01 09:25:00,41.882809858,-87.771876815,RECKLESS FIREARM DISCHARGE,ALLEY,015
13229631,JG446950,2023-10-01 23:39:00,41.83781083,-87.730454333,RECKLESS FIREARM DISCHARGE,ALLEY,010
13229682,JG446909,2023-10-01 22:27:00,41.83781083,-87.730454333,RECKLESS FIREARM DISCHARGE,ALLEY,010
13229568,JG446881,2023-10-01 22:08:00,41.835839699,-87.655966063,RECKLESS FIREARM DISCHARGE,SIDEWALK,009
13228723,JG445889,2023-10-01 02:19:00,41.917524581,-87.726574194,RECKLESS FIREARM DISCHARGE,STREET,025
13228578,JG445728,2023-10-01 00:38:00,41.718159914,-87.594663721,RECKLESS FIREARM DISCHARGE,STREET,005
13228933,JG446095,2023-10-01 06:14:00,41.884345391,-87.753402514,RECKLESS FIREARM DISCHARGE,STREET,015
